equip-10000001,BM 3-12X40
equip-20000017,穿甲+<armor_piercing>//n$RF//cMG专用
equip-30000017,IOP公司的M61型穿甲弹，标准的钢芯穿甲弹设计旨在击穿敌人的装甲造成有效伤害，步枪和机枪可以装备。
equip-40000017,
equip-10000018,M993穿甲弹
equip-20000018,穿甲+<armor_piercing>//n$RF//cMG专用
equip-30000018,IOP公司的M993型穿甲弹，面对敌方更厚的装甲设置开发的钨合金穿甲弹旨在击穿敌人的装甲造成有效伤害，步枪和机枪可以装备。
equip-40000018,
equip-10000019,Mk169穿甲弹
equip-20000019,穿甲+<armor_piercing>//n$RF//cMG专用
equip-30000019,FCA研究局协助IOP改进的Mk169型穿甲弹，特制的钨合金穿甲弹芯能击穿任何敌人的装甲，步枪和机枪可以装备。
equip-40000019,
equip-10000020,Mk211高爆穿甲弹
equip-20000020,穿甲+<armor_piercing>//n$RF//cMG专用
equip-30000020,FCA研究局协助IOP改进的Mk211型高爆穿甲弹，通过钨合金弹头和高爆设计进一步提升穿甲后的杀伤效果，步枪和机枪可以装备。
equip-40000020,
equip-10000021,M1燃烧弹
equip-20000021,
equip-30000021,
equip-40000021,
equip-10000022,M23燃烧弹
equip-20000022,
equip-30000022,
equip-40000022,
equip-10000023,Mk300燃烧穿甲弹
equip-20000023,
equip-30000023,
equip-40000023,
equip-10000024,Bs燃烧穿甲弹
equip-20000024,
equip-30000024,
equip-40000024,
equip-10000025,震撼弹
equip-20000025,
equip-30000025,
equip-40000025,
equip-10000026,震撼弹
equip-20000026,
equip-30000026,
equip-40000026,
equip-10000027,震撼弹
equip-20000027,
equip-30000027,
equip-40000027,
equip-10000028,震撼弹
equip-20000028,
equip-30000028,
equip-40000028,
equip-10000029,FMJ高速弹
equip-20000029,伤害+<pow>//n$AR专用
equip-30000029,FCA研究局的突击步枪专用FMJ高速弹，通过高压高速装药有效提升突击步枪输出能力，和MP社可靠的轻量化弹匣配套发送。
equip-40000029,
equip-10000030,JSP高速弹
equip-20000030,伤害+<pow>//n$AR专用
equip-30000030,FCA研究局的突击步枪专用JSP高速弹，采用了实验型的弹头设计进一步提升突击步枪输出能力，和MP社可靠的轻量化弹匣配套发送。
equip-40000030,
equip-10000031,JHP高速弹
equip-20000031,伤害+<pow>//n$AR专用
equip-30000031,FCA研究局的突击步枪专用JHP高速弹，吸取了弹头设计经验拿出的改进型设计极大的提升了创伤效果，和MP社可靠的轻量化弹匣配套发送。
equip-40000031,
equip-10000032,APCR高速弹
equip-20000032,伤害+<pow>//n$AR专用
equip-30000032,FCA研究局的突击步枪实验型APCR高速弹，结合了穿甲弹的设计思想，采用不同的思路提高杀伤效果。和MP社可靠的轻量化弹匣配套发送。
equip-40000032,
equip-10000033,芯片
equip-20000033,
equip-30000033,
equip-40000033,
equip-10000034,芯片
equip-20000034,
equip-30000034,
equip-40000034,
equip-10000035,芯片
equip-20000035,
equip-30000035,
equip-40000035,
equip-10000036,芯片
equip-20000036,
equip-30000036,
equip-40000036,
equip-10000037,IOP T1外骨骼
equip-20000037,回避+<dodge> 伤害<pow>//n$HG//cSMG//cAR可用
equip-30000037,IOP公司的T1型早期外骨骼，通过外骨骼系统提升人形的灵活性。手枪，冲锋枪，部分突击步枪人形可以装备。
equip-40000037,
equip-10000038,IOP T2外骨骼
equip-20000038,回避+<dodge> 伤害<pow>//n$HG//cSMG//cAR可用
equip-30000038,IOP公司的T2型标准外骨骼，进一步提高外骨骼性能和灵活性，手枪，冲锋枪，部分突击步枪人形可以装备。
equip-40000038,
equip-10000039,IOP T3外骨骼
equip-20000039,回避+<dodge> 伤害<pow>//n$HG//cSMG//cAR可用
equip-30000039,IOP公司的T3型改进外骨骼，通过技术改进增加灵活性的同时减少对射击稳定的影响，手枪，冲锋枪，部分突击步枪人形可以装备。
equip-40000039,
equip-10000040,IOP T4外骨骼
equip-20000040,回避+<dodge> 伤害<pow>//n$HG//cSMG//cAR可用
equip-30000040,IOP公司的T4型定制外骨骼，通过针对人形特性特别定制的外骨骼，最大程度提升人形的行动能力，并且保证射击稳定性。手枪，冲锋枪，部分突击步枪人形可以装备。
equip-40000040,
equip-10000042,Type1防弹插板
equip-20000042,护甲+<armor> 回避<dodge>//n$SG可用
equip-30000042,IOP公司提供的防护等级TypeI纤维插板，降低中弹后受到的伤害，提高战术人形的战场生存能力。
equip-40000042,
equip-10000043,Type2防弹插板
equip-20000043,护甲+<armor> 回避<dodge>//n$SG可用
equip-30000043,IOP公司提供的防护等级TypeII复合插板，极大降低中弹后受到的伤害，增强战术人形的战场生存能力。
equip-40000043,
equip-10000044,Type3防弹插板
equip-20000044,护甲+<armor> 回避<dodge>//n$SG可用
equip-30000044,IOP公司提供的防护等级TypeIII凯夫拉插板，能抵御大口径弹药的攻击，极大的增强战术人形的战场生存能力。
equip-40000044,
equip-10000045,勋章
equip-20000045,
equip-30000045,
equip-40000045,
equip-10000046,勋章
equip-20000046,
equip-30000046,
equip-40000046,
equip-10000047,勋章
equip-20000047,
equip-30000047,
equip-40000047,
equip-10000048,勋章
equip-20000048,
equip-30000048,
equip-40000048,
equip-10000049,16Lab红外指示器
equip-20000049,夜视能力+<night_view_percent><%>//n$RF//cMG不可用
equip-30000049,16Lab特制的红外指示系统，简化了多余的功能和重量，真正实用的夜战设备，让人形可以发挥全部实力。只有冲锋枪，手枪，突击步枪可以装备。
equip-40000049,
equip-10000050,16Lab次口径穿甲弹
equip-20000050,穿甲+<armor_piercing>//n$RF//cMG专用
equip-30000050,16Lab刚刚定型的贫铀脱壳高爆穿甲弹。足以击穿任何类型的人形装甲并且造成严重伤害。步枪和机枪可以装备。
equip-40000050,
equip-10000051,高穿（不上）
equip-20000051,穿甲+<armor_piercing>//n伤害<pow>//n$RF可用
equip-30000051,
equip-40000051,
equip-10000052,高穿（不上）
equip-20000052,穿甲+<armor_piercing>//n伤害<pow>//n$RF可用
equip-30000052,
equip-40000052,
equip-10000053,高穿（不上）
equip-20000053,穿甲+<armor_piercing>//n伤害<pow>//n$RF可用
equip-30000053,
equip-40000053,
equip-10000054,高穿（不上）
equip-20000054,穿甲+<armor_piercing>//n伤害<pow>//n$RF可用
equip-30000054,
equip-40000054,
equip-10000055,IOP X1外骨骼
equip-20000055,回避+<dodge>//n$HG//cSMG//cAR可用
equip-30000055,IOP公司的X1型早期外骨骼，通过外骨骼系统提升人形的灵活性。手枪，冲锋枪，部分突击步枪人形可以装备。
equip-40000055,
equip-10000056,IOP X2外骨骼
equip-20000056,回避+<dodge>//n$HG//cSMG//cAR可用
equip-30000056,IOP公司的X2型标准外骨骼，进一步提高外骨骼性能和灵活性，手枪，冲锋枪，部分突击步枪人形可以装备。
equip-40000056,
equip-10000057,IOP X3外骨骼
equip-20000057,回避+<dodge>//n$HG//cSMG//cAR可用
equip-30000057,IOP公司的X3型改进外骨骼，通过技术改进增加灵活性的同时减少对射击稳定的影响，手枪，冲锋枪，部分突击步枪人形可以装备。
equip-40000057,
equip-10000058,IOP X4外骨骼
equip-20000058,回避+<dodge>//n$HG//cSMG//cAR可用
equip-30000058,IOP公司的X4型定制外骨骼，通过针对人形特性特别定制的外骨骼，最大程度提升人形的行动能力，并且保证射击稳定性。手枪，冲锋枪，部分突击步枪人形可以装备。
equip-40000058,
equip-10000059,国家竞赛穿甲弹
equip-20000059,穿甲+<armor_piercing> 射速+<rate>//n$春田专用
equip-30000059,20世纪早期的遗留物品，国家竞赛特制春田步枪所发射的比赛级弹药，春田专用。
equip-40000059,
equip-10000060,.300BLK高速弹
equip-20000060,伤害+<pow> 射速<rate>//n$ST AR-15专用
equip-30000060,16Lab特制的.300 Blackout高速弹，更适合配合消音器使用，ST AR-15专用。
equip-40000060,
equip-10000061,Titan火控芯片
equip-20000061,弹量+<bullet_number_up> 伤害<pow>//n射速<rate>$M1918专用
equip-30000061,全面提升特定机枪火力输出的火控芯片，不知道为什么看起来有点眼熟，M1918专用。
equip-40000061,
equip-10000062,GSG UX外骨骼
equip-20000062,回避+<dodge> 伤害<pow>//n$MP5专用
equip-30000062,针对MP5特调的专用高性能外骨骼，提升其回避机动能力到极限，MP5专用。
equip-40000062,
equip-10000063,AC1消音器
equip-20000063,暴击概率+<critical_percent><%>//n回避+<dodge>$MG//cSG不可用
equip-30000063,AC公司生产的通用消音器，对高战术人形隐蔽性有帮助，机枪及霰弹枪外可以装备。
equip-40000063,
equip-10000064,AC2消音器
equip-20000064,暴击概率+<critical_percent><%>//n回避+<dodge>$MG//cSG不可用
equip-30000064,AC公司生产的改进型消音器，提高战术人形隐蔽性，降低中弹几率，机枪及霰弹枪外可以装备。
equip-40000064,
equip-10000065,AC3消音器
equip-20000065,暴击概率+<critical_percent><%>//n回避+<dodge>$MG//cSG不可用
equip-30000065,AC公司生产的高级通用消音器，有效提高战术人形隐蔽性，降低中弹几率，机枪及霰弹枪外可以装备。
equip-40000065,
equip-10000066,AC4消音器
equip-20000066,暴击概率+<critical_percent><%>//n回避+<dodge>$MG//cSG不可用
equip-30000066,AC公司为特种作战特别生产的消音器，极大提高战术人形隐蔽性，降低中弹几率，机枪及霰弹枪外可以装备。
equip-40000066,
equip-10000067,IOP大容量弹链箱
equip-20000067,弹量+<bullet_number_up> 回避<dodge>//n$MG可用
equip-30000067,IOP公司为机枪战术人形特制的大容量弹链箱，赋予机枪更持久的火力输出。
equip-40000067,
equip-10000068,IOP极限弹链箱
equip-20000068,弹量+<bullet_number_up> 回避<dodge>//n$MG可用
equip-30000068,IOP公司为机枪战术人形特制的超大容量弹链箱，赋予机枪无与伦比的火力输出。
equip-40000068,
equip-10000069,ILM空尖弹
equip-20000069,伤害+<pow> 穿甲<armor_piercing>//n$HG//cSMG可用
equip-30000069,ILM生产的空尖短弹，对无甲单位提升杀伤力，但面对装甲缺乏穿透力，手枪和冲锋枪可以装备。
equip-40000069,
equip-10000070,ILM空尖弹
equip-20000070,伤害+<pow> 穿甲<armor_piercing>//n$HG//cSMG可用
equip-30000070,ILM生产的空尖短弹，对无甲单位有更高的杀伤力，但面对装甲缺乏穿透力，手枪和冲锋枪可以装备。
equip-40000070,
equip-10000071,ILM空尖弹
equip-20000071,伤害+<pow> 穿甲<armor_piercing>//n$HG//cSMG可用
equip-30000071,ILM生产的空尖短弹，对无甲单位有很高的杀伤力，但面对装甲缺乏穿透力，手枪和冲锋枪可以装备。
equip-40000071,
equip-10000072,ILM空尖弹
equip-20000072,伤害+<pow> 穿甲<armor_piercing>//n$HG//cSMG可用
equip-30000072,ILM生产的空尖短弹，对无甲单位有可怕的杀伤力，但面对装甲缺乏穿透力，手枪和冲锋枪可以装备。
equip-40000072,
equip-10000073,#1猎鹿弹
equip-20000073,伤害+<pow>//n暴击伤害+<critical_harm_rate><%>$SG可用
equip-30000073,IOP列装的大威力霰弹，每发内含数颗直径7.62mm的杀伤弹丸，提升攻击力，霰弹枪可以装备。
equip-40000073,
equip-10000074,#0猎鹿弹
equip-20000074,伤害+<pow>//n暴击伤害+<critical_harm_rate><%>$SG可用
equip-30000074,IOP列装的大威力霰弹，每发内含数颗直径8.13mm的杀伤弹丸，提升攻击力，霰弹枪可以装备。
equip-40000074,
equip-10000075,#00猎鹿弹
equip-20000075,伤害+<pow>//n暴击伤害+<critical_harm_rate><%>$SG可用
equip-30000075,IOP列装的大威力霰弹，每发内含数颗直径8.38mm的杀伤弹丸，大幅提升攻击力，霰弹枪可以装备。
equip-40000075,
equip-10000076,#000猎鹿弹
equip-20000076,伤害+<pow>//n暴击伤害+<critical_harm_rate><%>$SG可用
equip-30000076,IOP列装的最大威力霰弹，每发内含数颗直径9.14mm的杀伤弹丸，极大提升攻击力，霰弹枪可以装备。
equip-40000076,
equip-10000077,BK独头弹
equip-20000077,目标-2 伤害*3//n命中+<hit>$SG可用
equip-30000077,IOP列装的单弹头霰弹，每发装有一颗大型弹丸，给予霰弹枪单体杀伤能力。
equip-40000077,目标-2 伤害*3
equip-10000078,FST独头弹
equip-20000078,目标-2 伤害*3//n命中+<hit>$SG可用
equip-30000078,IOP列装的单弹头霰弹，每发只有一颗重心靠前的大型弹丸，给予霰弹枪稳定的单体杀伤能力。
equip-40000078,目标-2 伤害*3
equip-10000079,WAD独头弹
equip-20000079,目标-2 伤害*3//n命中+<hit>$SG可用
equip-30000079,IOP列装的单弹头霰弹，装有一颗塑料外壳包裹的重心靠前的大型弹丸，给予霰弹枪精确的单体杀伤能力。
equip-40000079,目标-2 伤害*3
equip-10000080,SABOT独头弹
equip-20000080,目标-2 伤害*3//n命中+<hit>$SG可用
equip-30000080,IOP列装的单弹头霰弹，每发只有一颗发射后旋转稳定的大型弹丸，给予霰弹枪稳定的弹道和精确的单体杀伤能力。
equip-40000080,目标-2 伤害*3
equip-10000081,16Lab防弹插板
equip-20000081,护甲+<armor> 回避<dodge>//n$SG可用
equip-30000081,16Lab特制的复合陶瓷凯夫拉插板，同时拥有极强的防弹能力和更轻的重量，真正精英的选择。
equip-40000081,
equip-10000082,16Lab猎鹿弹
equip-20000082,伤害+<pow>//n暴击伤害+<critical_harm_rate><%>$SG可用
equip-30000082,16Lab特别定制的马格南霰弹，更高装药量结合钨钢外壳的杀伤铅弹，是霰弹枪目前能使用的最强的弹药。//n
equip-40000082,
equip-10000083,KSTSP
equip-20000083,暴击概率+<critical_percent><%>//n暴击伤害+<critical_harm_rate><%>$AK-47//c56-1式专用
equip-30000083,战前由KSTSP生产的光学瞄具，配备专为AK系武器设计的转接支架，精准无比，直到今天仍是AK系武器最好的选择。
equip-40000083,
equip-10000084,KST1P8
equip-20000084,暴击概率+<critical_percent><%>//n暴击伤害+<critical_harm_rate><%>$AK-47//c56-1式专用
equip-30000084,战前由KST精密光学生产的光学瞄具，配备专为AK系武器设计的转接支架，精巧耐用，直到今天仍是AK系武器优秀的选择。
equip-40000084,
equip-10000085,KST1P7
equip-20000085,暴击概率+<critical_percent><%>//n暴击伤害+<critical_harm_rate><%>$AK-47//c56-1式专用
equip-30000085,战前由KST生产的光学瞄具，配备了专为AK系武器设计的转接支架，直到今天仍是AK系武器不错的选择。
equip-40000085,
equip-10000086,Hayha记忆芯片
equip-20000086,伤害+<pow> 回避+<dodge>//n暴击伤害+<critical_harm_rate><%>$莫辛-纳甘专用
equip-30000086,能让白色死神再次降临于战场之上的记忆芯片，莫辛纳甘专用。
equip-40000086,
equip-10000087,破旧披风
equip-20000087,暴击伤害+<critical_harm_rate><%>//n移速<speed>$RF专用
equip-30000087,流传已久的破旧披风，安定的射击环境可以提高暴击伤害。步枪专用。
equip-40000087,
equip-10000088,伪装披风
equip-20000088,暴击伤害+<critical_harm_rate><%>//n移速<speed>$RF专用
equip-30000088,流传已久的伪装披风，斑驳的边角显示其经历过的硝烟和战火，安定的射击环境可以提高暴击伤害。步枪专用。
equip-40000088,
equip-10000089,城市迷彩披风
equip-20000089,暴击伤害+<critical_harm_rate><%>//n移速<speed>$RF专用
equip-30000089,基于铁血技术开发的数码迷彩披风，能融入大部分环境，安定的射击环境可以提高暴击伤害。步枪专用。
equip-40000089,
equip-10000090,热光学迷彩披风
equip-20000090,暴击伤害+<critical_harm_rate><%>//n移速<speed>$RF专用
equip-30000090,基于军方技术研发的热光学迷彩披风，静止时根据环境自动改变伪装图案，极大的提高暴击伤害。步枪专用。
equip-40000090,
equip-10000091,特殊战机动护甲
equip-20000091,护甲+<armor> 回避+<dodge>//n射速<rate> 命中<hit>$M16A1专用
equip-30000091,铁血工造陷落前的遗留装备，整合了机动外骨骼的护甲极大地提升了使用者的生存能力，同时也会造成极高的身体和精神负荷。
equip-40000091,
equip-10000092,UMP UX外骨骼
equip-20000092,回避+<dodge>//n暴击伤害+<critical_harm_rate><%>$UMP9/40/45专用
equip-30000092,曾经的装备部为使用UMP武器平台的人形特调的高机动外骨骼，不牺牲射击精度的前提下极大的提高了回避能力。
equip-40000092,
equip-10000093,PKN03M夜视瞄具
equip-20000093,夜视能力+<night_view_percent><%>//n伤害+<pow>$9A-91专用
equip-30000093,内务部要求下开发的夜视瞄具，自带3倍放大倍率和红外指示，帮助9A-91在夜色中无声地命中目标要害。
equip-40000093,
equip-10000094,专用战术内存
equip-20000094,伤害+<pow> 弹量+<bullet_number_up>//n命中<hit>$阿梅利专用
equip-30000094,谁也想不到内存条在2063年仍然是稀有的奢侈品，节日限定的高性能内存更是重要的收藏品和战略物资，阿梅利专用。
equip-40000094,
equip-10000095,16Lab空尖弹
equip-20000095,伤害+<pow> 穿甲<armor_piercing>//n$HG//cSMG可用
equip-30000095,16Lab特制的空尖短弹，是空尖弹中的豪杰，各项数值都是最优秀的。手枪和冲锋枪可以装备。
equip-40000095,
equip-10000096,16lab热光学披风
equip-20000096,暴击伤害+<critical_harm_rate><%>//n移速<speed>$RF专用
equip-30000096,16Lab特制的热光学迷彩披风，16Lab高品质的秘密是从IOP订购1000件，只留下最好的10件打上自己的标志，剩下的就地销毁。步枪专用。
equip-40000096,
equip-10000097,第三方防弹插板
equip-20000097,护甲+<armor>//n$第三方梯队专用
equip-30000097,
equip-40000097,
equip-10000098,第三方穿甲弹
equip-20000098,穿甲+<armor_piercing>//n$第三方梯队专用
equip-30000098,
equip-40000098,
equip-10000099,遗留的武器库
equip-20000099,伤害+<pow> 射速+<rate>//n护甲+<armor>$M4A1专用
equip-30000099,离去的老兵的礼物，见证了许多不被歌颂的战争，和没有墓碑的英雄，重新校准后由M4A1使用。
equip-40000099,
equip-10000100,轻量化导轨套件
equip-20000100,伤害+<pow> 命中+<hit>//n暴击伤害+<critical_harm_rate><%>$ST AR-15专用
equip-30000100,追求轻量化和快速射击稳定性的配置，包含keymod导轨，前握把，枪口补偿器及浮置式枪管，提升暴击伤害和命中，AR15专用。
equip-40000100,
equip-10000101,XM261短弹
equip-20000101,伤害+<pow> 穿甲<armor_piercing>//n$M1911专用
equip-30000101,曾经战争中为残酷的战壕内近距离战斗开发的实验弹药，本质是一种可以直接用.45口径手枪发射的霰弹，M1911专用。
equip-40000101,
equip-10000102,性能升级卡带
equip-20000102,回避+<dodge> 射速+<rate>//n伤害<pow>$IDW专用
equip-30000102,看起来很古朴的卡带，很难相信插上这个能提升作战能力，使用前对触点吹一吹比较好，IDW专用。
equip-40000102,
equip-10000103,64专用消音器
equip-20000103,暴击概率+<critical_percent><%>//n回避+<dodge>$64式专用
equip-30000103,古朴的消音器，让64式无声融入漆黑的雨林夜色中，同时提升暴击概率，64式专用。
equip-40000103,
equip-10000104,快慢机扳机组
equip-20000104,射速+<rate>//n暴击概率+<critical_percent><%>$FN-49专用
equip-30000104,后期型特有的扳机组，装备这个套件的FN49可以在单发和连发中自由切换，提升射速和暴击概率，FN49专用。
equip-40000104,
equip-10000105,PM 5-25X56
equip-20000105,暴击概率+<critical_percent><%>//n暴击伤害+<critical_harm_rate><%>$Kar98k专用
equip-30000105,昂贵的德国光学器材一直是狙击手和摄影师的终极选择，尖端的瞄具让跨过130年战场的她更加从容，Kar98K专用。
equip-40000105,
equip-10000106,EOT XPS3
equip-20000106,伤害+<pow> 命中+<hit>//n暴击概率+<critical_percent><%>$HK416专用
equip-30000106,EOT公司最新的全息瞄具，除了看起来酷外还附带了快速翻折的3倍镜，应用范围更为广泛，HK416专用。
equip-40000106,
equip-10000107,无限弹链箱
equip-20000107,弹量+<bullet_number_up> 伤害<pow>//n命中<hit> 回避<dodge>$MG3专用
equip-30000107,远古时期遗留的神秘强力装备，虽然大多都已经被某神秘管理局收缴，竟然有一件一直保留到今天，MG3专用。
equip-40000107,
equip-10000108,蓝色加厚披风
equip-20000108,暴击伤害+<critical_harm_rate><%>//n射速+<rate> 移速<speed>$PTRD专用
equip-30000108,一个姓帕夫里琴科的神秘少女曾经身披的外套，可以抵御西伯利亚冻土的严寒。PTRD专用。
equip-40000108,
equip-10000109,16Lab6-24X56
equip-20000109,暴击概率+<critical_percent><%>//n$HG不可用
equip-30000109,16Lab优选的VFL光学瞄具，打上logo后虽然卖贵了10倍，但是每支都有限量编码，这个可厉害了。
equip-40000109,
equip-10000110,16Lab高速弹
equip-20000110,伤害+<pow>//n$AR专用
equip-30000110,16Lab特制高速弹，精度达到比赛级的优秀弹药，平时不舍得用，和MP社可靠的轻量化弹匣配套发送。
equip-40000110,
equip-10000111,K6-24X56
equip-20000111,暴击概率+<critical_percent><%>//n命中+<hit>$莫辛-纳甘专用
equip-30000111,通过导轨加装的现代光学瞄具，最大限度发挥出了莫辛纳甘天生的精准素质，提升命中和暴击概率，莫辛纳甘专用。
equip-40000111,
equip-10000112,CT 4X20
equip-20000112,命中+<hit> 射速<rate>//n暴击概率+<critical_percent><%>$M1918专用
equip-30000112,原本是为AR平台开发的瞄具，经过多场大战的考验性能可靠，M1918经过现代化改造后通过导轨加装，M1918专用。
equip-40000112,
equip-10000113,纳甘左轮消音器
equip-20000113,暴击概率+<critical_percent><%>//n回避+<dodge> 命中+<hit>$纳甘左轮专用
equip-30000113,左轮手枪因为结构的巨大间隙通常无法被消音，但纳甘左轮独特的上膛结构，配合专用弹药和消音器便可达到很好的消音效果，纳甘左轮专用。
equip-40000113,
equip-10000114,MP446C比赛枪管
equip-20000114,暴击概率+<critical_percent><%>//n回避+<dodge> 命中+<hit>$MP-446专用
equip-30000114,MP446升级后使用更加灵活的446C型，可以换装竞赛用的120mm加长枪管，提升精度，MP446专用。
equip-40000114,
equip-10000115,数码迷彩披风
equip-20000115,暴击伤害+<critical_harm_rate><%>//n伤害+<pow> 移速<speed>$SV-98专用
equip-30000115,冬季数码迷彩披风，很适合SV98熟悉的作战环境，提高伤害和暴击伤害，SV98专用。
equip-40000115,
equip-10000117,荣耀之光
equip-20000117,夜视能力+<night_view_percent><%>//n增强技能效果$克莉尔专用
equip-30000117,来自异世界的明澈心灵绽放出的光芒，希望带给迷茫中的你一线力量和希望，“荣耀之日，荣耀之光，你是唯一，你是光芒！”
equip-40000117,
equip-10000118,漆黑之猫
equip-20000118,夜视能力+<night_view_percent><%>//n增强技能效果$菲尔专用
equip-30000118,来自异世界的混沌心灵爆发出的光芒，希望在置身黑暗中的你不会将其遗忘，“我将打破规则，无论多少次！”
equip-40000118,
equip-10000119,FÉLIN系统瞄具
equip-20000119,暴击概率+<critical_percent><%>//n伤害+<pow> 命中+<hit>$FAMAS专用
equip-30000119,曾经的先进单兵计划的一部分，集合了摄影机和红外系统的光学瞄具，让FAMAS可以更灵活多变的适应战场状况。
equip-40000119,
equip-10000120,16LabMARS
equip-20000120,命中+<hit> 射速<rate>//n$HG不可用
equip-30000120,16Lab校准过的一体化红点瞄准器，基础功能之上增加了可选的沙色版本和限定序列号。除手枪外均可装配。
equip-40000120,
equip-10000121,16LabT4外骨骼
equip-20000121,回避+<dodge> 伤害<pow>//n$HG//cSMG//cAR可用
equip-30000121,16Lab特制的高性能外骨骼，特色是采用了钛合金骨架，难以加工但是兼具轻量化和强度。手枪，冲锋枪，部分突击步枪人形可以装备。
equip-40000121,
equip-10000122,柯尔特左轮长枪管
equip-20000122,伤害+<pow> 回避+<dodge>//n暴击概率+<critical_percent><%>$柯尔特左轮专用
equip-30000122,一把超长枪管的柯尔特左轮，和皮靴上的叮当作响的马刺，嘴唇上精心修剪的壮美胡须一样，是蛮荒的西部故事主角的重要配置，也许，还有一瓶元祖可乐。
equip-40000122,
equip-10000123,布伦L4枪管组
equip-20000123,伤害+<pow> 命中+<hit>//n暴击概率+<critical_percent><%>$布伦专用
equip-30000123,换装L4枪管组后布伦可以发射7.62x51mm北约通用弹药，提升了伤害和命中，射速略微降低，布伦轻机枪专用。
equip-40000123,
equip-10000124,G3改良枪管组
equip-20000124,伤害+<pow>//n暴击概率+<critical_percent><%>$G3专用
equip-30000124,换装了重型枪管的G3更加稳定，弹道散步更小，配合精巧的滚轮延迟反冲式枪机，精度可以接近狙击步枪，提升暴击概率及伤害。
equip-40000124,
equip-10000125,附加运算模块
equip-20000125,暴击概率+<critical_percent><%>//n回避+<dodge>$UMP45专用
equip-30000125,针对UMP45特调的扩充升级芯片，在进一步发挥基础性能的前提下，最重要的是有效了解决电子战人形无法安装复杂火控的问题。
equip-40000125,
equip-10000126,兵蚁型RO
