theater_area-10000411,普通关卡
theater_area-20000438,作战终于来到了收尾阶段，但这最后的一步却也是最艰难的一步。赢得胜利或是跌落地狱，一切都取决于我们接下来的行动。
theater_area-10000441,普通关卡
theater_area-30000441,这是优势人形技能描述
theater_area-20000441,攻破了外围的坚强防御只是开始，我们将要深入山谷内部消灭盘据于此的敌军。坚持到最后一秒的人，方能取得最后的胜利。
theater_area-10000442,普通关卡
theater_area-30000442,这是优势人形技能描述
theater_area-20000442,攻破了外围的坚强防御只是开始，我们将要深入山谷内部消灭盘据于此的敌军。坚持到最后一秒的人，方能取得最后的胜利。
theater_area-10000443,要塞关卡
theater_area-30000443,这是优势人形技能描述
theater_area-20000443,攻破了外围的坚强防御只是开始，我们将要深入山谷内部消灭盘据于此的敌军。坚持到最后一秒的人，方能取得最后的胜利。
theater_area-10000444,普通关卡
theater_area-30000444,这是优势人形技能描述
theater_area-20000444,攻破了外围的坚强防御只是开始，我们将要深入山谷内部消灭盘据于此的敌军。坚持到最后一秒的人，方能取得最后的胜利。
theater_area-10000445,普通关卡
theater_area-30000445,这是优势人形技能描述
theater_area-20000445,攻破了外围的坚强防御只是开始，我们将要深入山谷内部消灭盘据于此的敌军。坚持到最后一秒的人，方能取得最后的胜利。
theater_area-10000446,要塞关卡
theater_area-30000446,这是优势人形技能描述
theater_area-20000446,攻破了外围的坚强防御只是开始，我们将要深入山谷内部消灭盘据于此的敌军。坚持到最后一秒的人，方能取得最后的胜利。
theater_area-10000447,普通关卡
theater_area-30000447,这是优势人形技能描述
theater_area-20000447,攻破了外围的坚强防御只是开始，我们将要深入山谷内部消灭盘据于此的敌军。坚持到最后一秒的人，方能取得最后的胜利。
theater_area-10000448,要塞关卡
theater_area-30000448,这是优势人形技能描述
theater_area-20000448,攻破了外围的坚强防御只是开始，我们将要深入山谷内部消灭盘据于此的敌军。坚持到最后一秒的人，方能取得最后的胜利。
theater_area-10000511,普通关卡
theater_area-30000511,这是优势人形技能描述
theater_area-20000511,被枪林弹雨洗礼的山头，是我们前进的第一道障碍。为了下一阶段的作战，我们要拿下这片区域，作为前进的立足点。
theater_area-10000512,普通关卡
theater_area-30000512,这是优势人形技能描述
theater_area-20000512,被枪林弹雨洗礼的山头，是我们前进的第一道障碍。为了下一阶段的作战，我们要拿下这片区域，作为前进的立足点。
theater_area-10000513,普通关卡
theater_area-30000513,这是优势人形技能描述
theater_area-20000513,被枪林弹雨洗礼的山头，是我们前进的第一道障碍。为了下一阶段的作战，我们要拿下这片区域，作为前进的立足点。
theater_area-10000514,要塞关卡
theater_area-30000514,这是优势人形技能描述
theater_area-20000514,被枪林弹雨洗礼的山头，是我们前进的第一道障碍。为了下一阶段的作战，我们要拿下这片区域，作为前进的立足点。
theater_area-10000515,普通关卡
theater_area-30000515,这是优势人形技能描述
theater_area-20000515,被枪林弹雨洗礼的山头，是我们前进的第一道障碍。为了下一阶段的作战，我们要拿下这片区域，作为前进的立足点。
theater_area-10000516,普通关卡
theater_area-30000516,这是优势人形技能描述
theater_area-20000516,被枪林弹雨洗礼的山头，是我们前进的第一道障碍。为了下一阶段的作战，我们要拿下这片区域，作为前进的立足点。
theater_area-10000517,普通关卡
theater_area-30000517,这是优势人形技能描述
theater_area-20000517,被枪林弹雨洗礼的山头，是我们前进的第一道障碍。为了下一阶段的作战，我们要拿下这片区域，作为前进的立足点。
theater_area-10000518,要塞关卡
theater_area-30000518,这是优势人形技能描述
theater_area-20000518,被枪林弹雨洗礼的山头，是我们前进的第一道障碍。为了下一阶段的作战，我们要拿下这片区域，作为前进的立足点。
theater_area-10000521,普通关卡
theater_area-30000521,这是优势人形技能描述
theater_area-20000521,为了打开局面，我们决定延伸战线包围目标。但此地密集的敌军炮火，却宛如连绵不绝的雷声回荡在战场上空。
theater_area-10000522,普通关卡
theater_area-30000522,这是优势人形技能描述
theater_area-20000522,为了打开局面，我们决定延伸战线包围目标。但此地密集的敌军炮火，却宛如连绵不绝的雷声回荡在战场上空。
theater_area-10000523,普通关卡
theater_area-30000523,这是优势人形技能描述
theater_area-20000523,为了打开局面，我们决定延伸战线包围目标。但此地密集的敌军炮火，却宛如连绵不绝的雷声回荡在战场上空。
theater_area-10000524,要塞关卡
theater_area-30000524,这是优势人形技能描述
theater_area-20000524,为了打开局面，我们决定延伸战线包围目标。但此地密集的敌军炮火，却宛如连绵不绝的雷声回荡在战场上空。
theater_area-10000525,普通关卡
theater_area-30000525,这是优势人形技能描述
theater_area-20000525,为了打开局面，我们决定延伸战线包围目标。但此地密集的敌军炮火，却宛如连绵不绝的雷声回荡在战场上空。
theater_area-10000526,普通关卡
theater_area-30000526,这是优势人形技能描述
theater_area-20000526,为了打开局面，我们决定延伸战线包围目标。但此地密集的敌军炮火，却宛如连绵不绝的雷声回荡在战场上空。
theater_area-10000527,普通关卡
theater_area-30000527,这是优势人形技能描述
theater_area-20000527,为了打开局面，我们决定延伸战线包围目标。但此地密集的敌军炮火，却宛如连绵不绝的雷声回荡在战场上空。
theater_area-10000528,要塞关卡
theater_area-30000528,这是优势人形技能描述
theater_area-20000528,为了打开局面，我们决定延伸战线包围目标。但此地密集的敌军炮火，却宛如连绵不绝的雷声回荡在战场上空。
theater_area-10000531,普通关卡
theater_area-30000531,这是优势人形技能描述
theater_area-20000531,作战终于来到了收尾阶段，但这最后的一步却也是最艰难的一步。赢得胜利或是跌落地狱，一切都取决于我们接下来的行动。
theater_area-10000532,普通关卡
theater_area-30000532,这是优势人形技能描述
theater_area-20000532,作战终于来到了收尾阶段，但这最后的一步却也是最艰难的一步。赢得胜利或是跌落地狱，一切都取决于我们接下来的行动。
theater_area-10000533,要塞关卡
theater_area-30000533,这是优势人形技能描述
theater_area-20000533,作战终于来到了收尾阶段，但这最后的一步却也是最艰难的一步。赢得胜利或是跌落地狱，一切都取决于我们接下来的行动。
theater_area-10000534,普通关卡
theater_area-30000534,这是优势人形技能描述
theater_area-20000534,作战终于来到了收尾阶段，但这最后的一步却也是最艰难的一步。赢得胜利或是跌落地狱，一切都取决于我们接下来的行动。
theater_area-10000535,普通关卡
theater_area-30000535,这是优势人形技能描述
theater_area-20000535,作战终于来到了收尾阶段，但这最后的一步却也是最艰难的一步。赢得胜利或是跌落地狱，一切都取决于我们接下来的行动。
theater_area-10000536,要塞关卡
theater_area-30000536,这是优势人形技能描述
theater_area-20000536,作战终于来到了收尾阶段，但这最后的一步却也是最艰难的一步。赢得胜利或是跌落地狱，一切都取决于我们接下来的行动。
theater_area-10000537,普通关卡
theater_area-30000537,这是优势人形技能描述
theater_area-20000537,作战终于来到了收尾阶段，但这最后的一步却也是最艰难的一步。赢得胜利或是跌落地狱，一切都取决于我们接下来的行动。
theater_area-10000538,要塞关卡
theater_area-30000538,这是优势人形技能描述
theater_area-20000538,作战终于来到了收尾阶段，但这最后的一步却也是最艰难的一步。赢得胜利或是跌落地狱，一切都取决于我们接下来的行动。
theater_area-10000541,普通关卡
theater_area-30000541,这是优势人形技能描述
theater_area-20000541,攻破了外围的坚强防御只是开始，我们将要深入山谷内部消灭盘据于此的敌军。坚持到最后一秒的人，方能取得最后的胜利。
theater_area-10000542,普通关卡
theater_area-30000542,这是优势人形技能描述
theater_area-20000542,攻破了外围的坚强防御只是开始，我们将要深入山谷内部消灭盘据于此的敌军。坚持到最后一秒的人，方能取得最后的胜利。
theater_area-10000543,要塞关卡
theater_area-30000543,这是优势人形技能描述
theater_area-20000543,攻破了外围的坚强防御只是开始，我们将要深入山谷内部消灭盘据于此的敌军。坚持到最后一秒的人，方能取得最后的胜利。
theater_area-10000544,普通关卡
theater_area-30000544,这是优势人形技能描述
theater_area-20000544,攻破了外围的坚强防御只是开始，我们将要深入山谷内部消灭盘据于此的敌军。坚持到最后一秒的人，方能取得最后的胜利。
theater_area-10000545,普通关卡
theater_area-30000545,这是优势人形技能描述
theater_area-20000545,攻破了外围的坚强防御只是开始，我们将要深入山谷内部消灭盘据于此的敌军。坚持到最后一秒的人，方能取得最后的胜利。
theater_area-10000546,要塞关卡
theater_area-30000546,这是优势人形技能描述
theater_area-20000546,攻破了外围的坚强防御只是开始，我们将要深入山谷内部消灭盘据于此的敌军。坚持到最后一秒的人，方能取得最后的胜利。
theater_area-10000547,普通关卡
theater_area-30000547,这是优势人形技能描述
theater_area-20000547,攻破了外围的坚强防御只是开始，我们将要深入山谷内部消灭盘据于此的敌军。坚持到最后一秒的人，方能取得最后的胜利。
theater_area-10000548,要塞关卡
theater_area-30000548,这是优势人形技能描述
theater_area-20000548,攻破了外围的坚强防御只是开始，我们将要深入山谷内部消灭盘据于此的敌军。坚持到最后一秒的人，方能取得最后的胜利。
theater_area-10000611,普通关卡
theater_area-30000611,这是优势人形技能描述
theater_area-20000611,被枪林弹雨洗礼的山头，是我们前进的第一道障碍。为了下一阶段的作战，我们要拿下这片区域，作为前进的立足点。
theater_area-10000612,普通关卡
theater_area-30000612,这是优势人形技能描述
theater_area-20000612,被枪林弹雨洗礼的山头，是我们前进的第一道障碍。为了下一阶段的作战，我们要拿下这片区域，作为前进的立足点。
theater_area-10000613,普通关卡
theater_area-30000613,这是优势人形技能描述
theater_area-20000613,被枪林弹雨洗礼的山头，是我们前进的第一道障碍。为了下一阶段的作战，我们要拿下这片区域，作为前进的立足点。
theater_area-10000614,要塞关卡
theater_area-30000614,这是优势人形技能描述
theater_area-20000614,被枪林弹雨洗礼的山头，是我们前进的第一道障碍。为了下一阶段的作战，我们要拿下这片区域，作为前进的立足点。
theater_area-10000615,普通关卡
theater_area-30000615,这是优势人形技能描述
theater_area-20000615,被枪林弹雨洗礼的山头，是我们前进的第一道障碍。为了下一阶段的作战，我们要拿下这片区域，作为前进的立足点。
theater_area-10000616,普通关卡
theater_area-30000616,这是优势人形技能描述
theater_area-20000616,被枪林弹雨洗礼的山头，是我们前进的第一道障碍。为了下一阶段的作战，我们要拿下这片区域，作为前进的立足点。
theater_area-10000617,普通关卡
theater_area-30000617,这是优势人形技能描述
theater_area-20000617,被枪林弹雨洗礼的山头，是我们前进的第一道障碍。为了下一阶段的作战，我们要拿下这片区域，作为前进的立足点。
theater_area-10000618,要塞关卡
theater_area-30000618,这是优势人形技能描述
theater_area-20000618,被枪林弹雨洗礼的山头，是我们前进的第一道障碍。为了下一阶段的作战，我们要拿下这片区域，作为前进的立足点。
theater_area-10000621,普通关卡
theater_area-30000621,这是优势人形技能描述
theater_area-20000621,为了打开局面，我们决定延伸战线包围目标。但此地密集的敌军炮火，却宛如连绵不绝的雷声回荡在战场上空。
theater_area-10000622,普通关卡
theater_area-30000622,这是优势人形技能描述
theater_area-20000622,为了打开局面，我们决定延伸战线包围目标。但此地密集的敌军炮火，却宛如连绵不绝的雷声回荡在战场上空。
theater_area-10000623,普通关卡
theater_area-30000623,这是优势人形技能描述
theater_area-20000623,为了打开局面，我们决定延伸战线包围目标。但此地密集的敌军炮火，却宛如连绵不绝的雷声回荡在战场上空。
theater_area-10000624,要塞关卡
theater_area-30000624,这是优势人形技能描述
theater_area-20000624,为了打开局面，我们决定延伸战线包围目标。但此地密集的敌军炮火，却宛如连绵不绝的雷声回荡在战场上空。
theater_area-10000625,普通关卡
theater_area-30000625,这是优势人形技能描述
theater_area-20000625,为了打开局面，我们决定延伸战线包围目标。但此地密集的敌军炮火，却宛如连绵不绝的雷声回荡在战场上空。
theater_area-10000626,普通关卡
theater_area-30000626,这是优势人形技能描述
theater_area-20000626,为了打开局面，我们决定延伸战线包围目标。但此地密集的敌军炮火，却宛如连绵不绝的雷声回荡在战场上空。
theater_area-10000627,普通关卡
theater_area-30000627,这是优势人形技能描述
theater_area-20000627,为了打开局面，我们决定延伸战线包围目标。但此地密集的敌军炮火，却宛如连绵不绝的雷声回荡在战场上空。
theater_area-10000628,要塞关卡
theater_area-30000628,这是优势人形技能描述
theater_area-20000628,为了打开局面，我们决定延伸战线包围目标。但此地密集的敌军炮火，却宛如连绵不绝的雷声回荡在战场上空。
theater_area-10000631,普通关卡
theater_area-30000631,这是优势人形技能描述
theater_area-20000631,作战终于来到了收尾阶段，但这最后的一步却也是最艰难的一步。赢得胜利或是跌落地狱，一切都取决于我们接下来的行动。
theater_area-10000632,普通关卡
theater_area-30000632,这是优势人形技能描述
theater_area-20000632,作战终于来到了收尾阶段，但这最后的一步却也是最艰难的一步。赢得胜利或是跌落地狱，一切都取决于我们接下来的行动。
theater_area-10000633,要塞关卡
theater_area-30000633,这是优势人形技能描述
theater_area-20000633,作战终于来到了收尾阶段，但这最后的一步却也是最艰难的一步。赢得胜利或是跌落地狱，一切都取决于我们接下来的行动。
theater_area-10000634,普通关卡
theater_area-30000634,这是优势人形技能描述
theater_area-20000634,作战终于来到了收尾阶段，但这最后的一步却也是最艰难的一步。赢得胜利或是跌落地狱，一切都取决于我们接下来的行动。
theater_area-10000635,普通关卡
theater_area-30000635,这是优势人形技能描述
theater_area-20000635,作战终于来到了收尾阶段，但这最后的一步却也是最艰难的一步。赢得胜利或是跌落地狱，一切都取决于我们接下来的行动。
theater_area-10000636,要塞关卡
theater_area-30000636,这是优势人形技能描述
theater_area-20000636,作战终于来到了收尾阶段，但这最后的一步却也是最艰难的一步。赢得胜利或是跌落地狱，一切都取决于我们接下来的行动。
theater_area-10000637,普通关卡
theater_area-30000637,这是优势人形技能描述
theater_area-20000637,作战终于来到了收尾阶段，但这最后的一步却也是最艰难的一步。赢得胜利或是跌落地狱，一切都取决于我们接下来的行动。
theater_area-10000638,要塞关卡
theater_area-30000638,这是优势人形技能描述
theater_area-20000638,作战终于来到了收尾阶段，但这最后的一步却也是最艰难的一步。赢得胜利或是跌落地狱，一切都取决于我们接下来的行动。
theater_area-10000641,普通关卡
theater_area-30000641,这是优势人形技能描述
theater_area-20000641,攻破了外围的坚强防御只是开始，我们将要深入山谷内部消灭盘据于此的敌军。坚持到最后一秒的人，方能取得最后的胜利。
theater_area-10000642,普通关卡
theater_area-30000642,这是优势人形技能描述
theater_area-20000642,攻破了外围的坚强防御只是开始，我们将要深入山谷内部消灭盘据于此的敌军。坚持到最后一秒的人，方能取得最后的胜利。
theater_area-10000643,要塞关卡
theater_area-30000643,这是优势人形技能描述
theater_area-20000643,攻破了外围的坚强防御只是开始，我们将要深入山谷内部消灭盘据于此的敌军。坚持到最后一秒的人，方能取得最后的胜利。
theater_area-10000644,普通关卡
theater_area-30000644,这是优势人形技能描述
theater_area-20000644,攻破了外围的坚强防御只是开始，我们将要深入山谷内部消灭盘据于此的敌军。坚持到最后一秒的人，方能取得最后的胜利。
theater_area-10000645,普通关卡
theater_area-30000645,这是优势人形技能描述
theater_area-20000645,攻破了外围的坚强防御只是开始，我们将要深入山谷内部消灭盘据于此的敌军。坚持到最后一秒的人，方能取得最后的胜利。
theater_area-10000646,要塞关卡
theater_area-30000646,这是优势人形技能描述
theater_area-20000646,攻破了外围的坚强防御只是开始，我们将要深入山谷内部消灭盘据于此的敌军。坚持到最后一秒的人，方能取得最后的胜利。
theater_area-10000647,普通关卡
theater_area-30000647,这是优势人形技能描述
theater_area-20000647,攻破了外围的坚强防御只是开始，我们将要深入山谷内部消灭盘据于此的敌军。坚持到最后一秒的人，方能取得最后的胜利。
theater_area-10000648,要塞关卡
theater_area-30000648,这是优势人形技能描述
theater_area-20000648,攻破了外围的坚强防御只是开始，我们将要深入山谷内部消灭盘据于此的敌军。坚持到最后一秒的人，方能取得最后的胜利。
theater_area-10000711,普通关卡
theater_area-30000711,突击步枪：提升10%伤害；冲锋枪：提升10%回避
theater_area-20000711,被枪林弹雨洗礼的山头，是我们前进的第一道障碍。为了下一阶段的作战，我们要拿下这片区域，作为前进的立足点。
theater_area-10000712,普通关卡
theater_area-30000712,突击步枪：提升10%伤害；冲锋枪：提升10%回避
theater_area-20000712,被枪林弹雨洗礼的山头，是我们前进的第一道障碍。为了下一阶段的作战，我们要拿下这片区域，作为前进的立足点。
theater_area-10000713,普通关卡
theater_area-30000713,突击步枪：提升10%伤害；冲锋枪：提升10%回避
theater_area-20000713,被枪林弹雨洗礼的山头，是我们前进的第一道障碍。为了下一阶段的作战，我们要拿下这片区域，作为前进的立足点。
theater_area-10000714,要塞关卡
theater_area-30000714,突击步枪：提升10%伤害；冲锋枪：提升10%回避
theater_area-20000714,被枪林弹雨洗礼的山头，是我们前进的第一道障碍。为了下一阶段的作战，我们要拿下这片区域，作为前进的立足点。
theater_area-10000715,普通关卡
theater_area-30000715,突击步枪：提升10%伤害；冲锋枪：提升10%回避
theater_area-20000715,被枪林弹雨洗礼的山头，是我们前进的第一道障碍。为了下一阶段的作战，我们要拿下这片区域，作为前进的立足点。
theater_area-10000716,普通关卡
theater_area-30000716,突击步枪：提升10%伤害；冲锋枪：提升10%回避
theater_area-20000716,被枪林弹雨洗礼的山头，是我们前进的第一道障碍。为了下一阶段的作战，我们要拿下这片区域，作为前进的立足点。
theater_area-10000717,普通关卡
theater_area-30000717,突击步枪：提升10%伤害；冲锋枪：提升10%回避
theater_area-20000717,被枪林弹雨洗礼的山头，是我们前进的第一道障碍。为了下一阶段的作战，我们要拿下这片区域，作为前进的立足点。
theater_area-10000718,要塞关卡
theater_area-30000718,突击步枪：提升10%伤害；冲锋枪：提升10%回避
theater_area-20000718,被枪林弹雨洗礼的山头，是我们前进的第一道障碍。为了下一阶段的作战，我们要拿下这片区域，作为前进的立足点。
theater_area-10000721,普通关卡
theater_area-30000721,开局获得100点护盾
theater_area-20000721,为了打开局面，我们决定延伸战线包围目标。但此地密集的敌军炮火，却宛如连绵不绝的雷声回荡在战场上空。
theater_area-10000722,普通关卡
theater_area-30000722,开局获得100点护盾
theater_area-20000722,为了打开局面，我们决定延伸战线包围目标。但此地密集的敌军炮火，却宛如连绵不绝的雷声回荡在战场上空。
theater_area-10000723,普通关卡
theater_area-30000723,开局获得100点护盾
theater_area-20000723,为了打开局面，我们决定延伸战线包围目标。但此地密集的敌军炮火，却宛如连绵不绝的雷声回荡在战场上空。
theater_area-10000724,要塞关卡
theater_area-30000724,开局获得100点护盾
theater_area-20000724,为了打开局面，我们决定延伸战线包围目标。但此地密集的敌军炮火，却宛如连绵不绝的雷声回荡在战场上空。
theater_area-10000725,普通关卡
theater_area-30000725,开局获得100点护盾
theater_area-20000725,为了打开局面，我们决定延伸战线包围目标。但此地密集的敌军炮火，却宛如连绵不绝的雷声回荡在战场上空。
theater_area-10000726,普通关卡
theater_area-30000726,开局获得100点护盾
theater_area-20000726,为了打开局面，我们决定延伸战线包围目标。但此地密集的敌军炮火，却宛如连绵不绝的雷声回荡在战场上空。
theater_area-10000727,普通关卡
theater_area-30000727,开局获得100点护盾
theater_area-20000727,为了打开局面，我们决定延伸战线包围目标。但此地密集的敌军炮火，却宛如连绵不绝的雷声回荡在战场上空。
theater_area-10000728,要塞关卡
theater_area-30000728,开局获得100点护盾
theater_area-20000728,为了打开局面，我们决定延伸战线包围目标。但此地密集的敌军炮火，却宛如连绵不绝的雷声回荡在战场上空。
theater_area-10000731,普通关卡
theater_area-30000731,突击步枪：提升10%伤害；冲锋枪：提升10%回避；所有枪种开局均获得100点护盾
theater_area-20000731,作战终于来到了收尾阶段，但这最后的一步却也是最艰难的一步。赢得胜利或是跌落地狱，一切都取决于我们接下来的行动。
theater_area-10000732,普通关卡
theater_area-30000732,突击步枪：提升10%伤害；冲锋枪：提升10%回避；所有枪种开局均获得100点护盾
theater_area-20000732,作战终于来到了收尾阶段，但这最后的一步却也是最艰难的一步。赢得胜利或是跌落地狱，一切都取决于我们接下来的行动。
theater_area-10000733,要塞关卡
theater_area-30000733,突击步枪：提升10%伤害；冲锋枪：提升10%回避；所有枪种开局均获得100点护盾
theater_area-20000733,作战终于来到了收尾阶段，但这最后的一步却也是最艰难的一步。赢得胜利或是跌落地狱，一切都取决于我们接下来的行动。
theater_area-10000734,普通关卡
theater_area-30000734,突击步枪：提升10%伤害；冲锋枪：提升10%回避；所有枪种开局均获得100点护盾
theater_area-20000734,作战终于来到了收尾阶段，但这最后的一步却也是最艰难的一步。赢得胜利或是跌落地狱，一切都取决于我们接下来的行动。
theater_area-10000735,普通关卡
theater_area-30000735,突击步枪：提升10%伤害；冲锋枪：提升10%回避；所有枪种开局均获得100点护盾
theater_area-20000735,作战终于来到了收尾阶段，但这最后的一步却也是最艰难的一步。赢得胜利或是跌落地狱，一切都取决于我们接下来的行动。
theater_area-10000736,要塞关卡
theater_area-30000736,突击步枪：提升10%伤害；冲锋枪：提升10%回避；所有枪种开局均获得100点护盾
theater_area-20000736,作战终于来到了收尾阶段，但这最后的一步却也是最艰难的一步。赢得胜利或是跌落地狱，一切都取决于我们接下来的行动。
theater_area-10000737,普通关卡
theater_area-30000737,突击步枪：提升10%伤害；冲锋枪：提升10%回避；所有枪种开局均获得100点护盾
theater_area-20000737,作战终于来到了收尾阶段，但这最后的一步却也是最艰难的一步。赢得胜利或是跌落地狱，一切都取决于我们接下来的行动。
theater_area-10000738,要塞关卡
theater_area-30000738,突击步枪：提升10%伤害；冲锋枪：提升10%回避；所有枪种开局均获得100点护盾
theater_area-20000738,作战终于来到了收尾阶段，但这最后的一步却也是最艰难的一步。赢得胜利或是跌落地狱，一切都取决于我们接下来的行动。
theater_area-10000741,普通关卡
theater_area-30000741,开局获得100点护盾
theater_area-20000741,攻破了外围的坚强防御只是开始，我们将要深入山谷内部消灭盘据于此的敌军。坚持到最后一秒的人，方能取得最后的胜利。
theater_area-10000742,普通关卡
theater_area-30000742,开局获得100点护盾
theater_area-20000742,攻破了外围的坚强防御只是开始，我们将要深入山谷内部消灭盘据于此的敌军。坚持到最后一秒的人，方能取得最后的胜利。
theater_area-10000743,要塞关卡
theater_area-30000743,开局获得100点护盾
theater_area-20000743,攻破了外围的坚强防御只是开始，我们将要深入山谷内部消灭盘据于此的敌军。坚持到最后一秒的人，方能取得最后的胜利。
theater_area-10000744,普通关卡
theater_area-30000744,开局获得100点护盾
theater_area-20000744,攻破了外围的坚强防御只是开始，我们将要深入山谷内部消灭盘据于此的敌军。坚持到最后一秒的人，方能取得最后的胜利。
theater_area-10000745,普通关卡
theater_area-30000745,开局获得100点护盾
theater_area-20000745,攻破了外围的坚强防御只是开始，我们将要深入山谷内部消灭盘据于此的敌军。坚持到最后一秒的人，方能取得最后的胜利。
theater_area-10000746,要塞关卡
theater_area-30000746,开局获得100点护盾
theater_area-20000746,攻破了外围的坚强防御只是开始，我们将要深入山谷内部消灭盘据于此的敌军。坚持到最后一秒的人，方能取得最后的胜利。
theater_area-10000747,普通关卡
theater_area-30000747,开局获得100点护盾
theater_area-20000747,攻破了外围的坚强防御只是开始，我们将要深入山谷内部消灭盘据于此的敌军。坚持到最后一秒的人，方能取得最后的胜利。
theater_area-10000748,要塞关卡
theater_area-30000748,开局获得100点护盾
theater_area-20000748,攻破了外围的坚强防御只是开始，我们将要深入山谷内部消灭盘据于此的敌军。坚持到最后一秒的人，方能取得最后的胜利。
theater_area-10000811,普通关卡
